"sample","t2","t3","cg","diff.t2.cg","diff.t3.cg"
"1","18a","","","","",""
"2","Overall","1.77","1.3","1.05","0.72","0.25"
"3","Catholic","1.81","1.25","1.04","0.77","0.21"
"4","Protestant","1.63","1.29","1.11","0.52","0.18"
"5","18b","","","","",""
"6","Overall","1.38","0.95","0.95","0.43","0"
"7","Catholic","1.48","0.88","1","0.48","-0.12"
"8","Protestant","1.22","1","0.86","0.36","0.14"
"9","19a","","","","",""
"10","Overall","1.7","1.51","1.27","0.43","0.24"
"11","Catholic","1.71","1.44","1.38","0.33","0.06"
"12","Protestant","1.68","1.55","1","0.68","0.55"
"13","19b","","","","",""
"14","Overall","1.98","1.69","1.35","0.63","0.34"
"15","Catholic","2.03","1.66","1.4","0.63","0.26"
"16","Protestant","1.78","1.71","1.19","0.59","0.52"
"17","20a","","","","",""
"18","Overall","1.37","1.16","1.02","0.35","0.14"
"19","Catholic","1.39","1.08","1.1","0.29","-0.02"
"20","Protestant","1.34","1.19","0.81","0.53","0.38"
"21","20b","","","","",""
"22","Overall","0.86","0.8","0.85","0.01","-0.05"
"23","Catholic","0.82","0.83","0.94","-0.12","-0.11"
"24","Protestant","0.98","0.61","0.54","0.44","0.07"
"25","21a","","","","",""
"26","Overall","0.93","1.03","0.73","0.2","0.3"
"27","Catholic","1","1","0.77","0.23","0.23"
"28","Protestant","0.83","1","0.57","0.26","0.43"
"29","21b","","","","",""
"30","Overall","0.81","1","0.83","-0.02","0.17"
"31","Catholic","0.81","0.85","0.93","-0.12","-0.08"
"32","Protestant","0.83","1.26","0.59","0.24","0.67"
