"","sample","t2","cg","diff.t2.cg","n.t2part","n.cg"
"1","18a","","","","",""
"2","Overall","1.77","1.05",".72***","124","150"
"3","Catholic","1.81","1.04",".77***","79","105"
"4","Protestant","1.63","1.11",".53","41","37"
"5","18b","","","","",""
"6","Overall","1.38",".95",".43*","124","150"
"7","Catholic","1.48","1.00",".48*","79","105"
"8","Protestant","1.22",".86",".35","41","37"
"9","19a","","","","",""
"10","Overall","1.70","1.27",".43**","124","150"
"11","Catholic","1.71","1.38",".33+","79","105"
"12","Protestant","1.68","1.00",".68*","41","37"
"13","19b","","","","",""
"14","Overall","1.98","1.35",".63***","124","150"
"15","Catholic","2.03","1.40",".63**","79","105"
"16","Protestant","1.78","1.19",".59+","41","37"
"17","20a","","","","",""
"18","Overall","1.37","1.02",".35*","124","150"
"19","Catholic","1.39","1.10",".30","79","105"
"20","Protestant","1.34",".81",".53+","41","37"
"21","20b","","","","",""
"22","Overall",".86",".85",".02","124","150"
"23","Catholic",".82",".94","-.12","79","105"
"24","Protestant",".98",".54",".44+","41","37"
"25","21a","","","","",""
"26","Overall",".93",".73",".20","124","150"
"27","Catholic","1.00",".77",".23","79","105"
"28","Protestant",".83",".57",".26","41","37"
"29","21b","","","","",""
"30","Overall",".81",".83","-.01","124","150"
"31","Catholic",".81",".93","-.12","79","105"
"32","Protestant",".83",".59",".23","41","37"
"33",NA,"","","","",""
"34","Overall","10.81","8.04","2.77**","124","150"
"35","Catholic","11.05","8.56","2.49*","79","105"
"36","Protestant","10.29","6.68","3.62*","41","37"
