"","sample","t2","t3","cg","diff.t2.cg","diff.t3.cg","diff.t3.t2","n.t2part","n.t3part","n.cg"
"1","18a","","","","","","","","",""
"2","Overall","1.86","1.30","1.05",".81***",".25+","-.56+","93","93","150"
"3","Catholic","1.95","1.25","1.04",".91***",".22","-.69","59","59","105"
"4","Protestant","1.58","1.29","1.11",".47",".18","-.29","31","31","37"
"5","18b","","","","","","","","",""
"6","Overall","1.47",".95",".95",".52**","-.01","-.53","93","93","150"
"7","Catholic","1.59",".88","1.00",".59**","-.12","-.71","59","59","105"
"8","Protestant","1.29","1.00",".86",".43",".14","-.29","31","31","37"
"9","19a","","","","","","","","",""
"10","Overall","1.69","1.51","1.27",".42*",".24+","-.18+","93","93","150"
"11","Catholic","1.69","1.44","1.38",".31",".06","-.25","59","59","105"
"12","Protestant","1.68","1.55","1.00",".68*",".55*","-.13*","31","31","37"
"13","19b","","","","","","","","",""
"14","Overall","2.03","1.69","1.35",".69***",".34*","-.34*","93","93","150"
"15","Catholic","2.15","1.66","1.40",".75**",".26","-.49","59","59","105"
"16","Protestant","1.68","1.71","1.19",".49",".52*",".03*","31","31","37"
"17","20a","","","","","","","","",""
"18","Overall","1.41","1.16","1.02",".39*",".14","-.25","93","93","150"
"19","Catholic","1.51","1.08","1.10",".41*","-.01","-.42","59","59","105"
"20","Protestant","1.23","1.19",".81",".41",".38+","-.03+","31","31","37"
"21","20b","","","","","","","","",""
"22","Overall",".87",".80",".85",".02","-.05","-.08","93","93","150"
"23","Catholic",".86",".83",".94","-.08","-.11","-.03","59","59","105"
"24","Protestant",".90",".61",".54",".36",".07","-.29","31","31","37"
"25","21a","","","","","","","","",""
"26","Overall",".90","1.03",".73",".18",".31*",".13*","93","93","150"
"27","Catholic",".97","1.00",".77",".19",".23",".03","59","59","105"
"28","Protestant",".81","1.00",".57",".24",".43*",".19*","31","31","37"
"29","21b","","","","","","","","",""
"30","Overall",".80","1.00",".83","-.03",".17",".20","93","93","150"
"31","Catholic",".83",".85",".93","-.10","-.09",".02","59","59","105"
"32","Protestant",".74","1.26",".59",".15",".66**",".52**","31","31","37"
"33",NA,"","","","","","","","",""
"34","Overall","11.03","9.43","8.04","2.99**","1.39+","-1.60+","93","93","150"
"35","Catholic","11.56","9.00","8.56","3.00*",".44","-2.56","59","59","105"
"36","Protestant","9.90","9.61","6.68","3.23+","2.94*","-.29*","31","31","37"
