"","q","t2","t3","cg","diff.t2.cg","diff.t3.cg","n.t2part","n.t3part","n.ctrl"
"1","q18","","","","","","","124","150"
"2","Support","1.81","1.28","1.02",".78***",".25","101","101","128"
"3","Oppose","1.34",".92",".92",".42*",".00","101","101","128"
"4","Support - Oppose",".47",".36",".11",".36*",".25+","101","101","128"
"5","q18","","","","","","","124","150"
"6","Support","1.83","1.60","1.45",".37",".15","26","26","28"
"7","Oppose","1.74","1.00","1.36",".38","-.36","26","26","28"
"8","Support - Oppose",".09",".60",".09",".00",".51","26","26","28"
"9","q19","","","","","","","124","150"
"10","Support","1.67","1.57","1.21",".45**",".35*","110","110","131"
"11","Oppose","2.00","1.72","1.32",".68***",".40**","110","110","131"
"12","Support - Oppose","-.33","-.15","-.11","-.23","-.04","110","110","131"
"13","q19","","","","","","","124","150"
"14","Support","1.64","1.10","1.63",".01","-.53","16","16","19"
"15","Oppose","1.64","1.50","1.53",".12","-.03","16","16","19"
"16","Support - Oppose",".00","-.40",".11","-.11","-.51","16","16","19"
"17","q20","","","","","","","124","150"
"18","Support","1.48","1.14","1.04",".44*",".10","65","65","137"
"19","Oppose",".94",".82",".88",".06","-.06","65","65","137"
"20","Support - Oppose",".55",".32",".17",".38*",".15","65","65","137"
"21","q20","","","","","","","124","150"
"22","Support","1.32","1.19",".77",".55+",".42+","62","62","13"
"23","Oppose",".83",".79",".54",".29",".25","62","62","13"
"24","Support - Oppose",".49",".40",".23",".26",".17","62","62","13"
"25","q21a","","","","","","","124","150"
"26","Support",".84","1.04",".77",".07",".28","70","70","87"
"27","Oppose",".79","1.06",".71",".08",".35+","70","70","87"
"28","Support - Oppose",".05","-.02",".06","-.01","-.08","70","70","87"
"29","q21a","","","","","","","124","150"
"30","Support","1.06","1.00",".68",".37+",".32+","62","62","64"
"31","Oppose",".89",".93","1.00","-.11","-.07","62","62","64"
"32","Support - Oppose",".17",".07","-.32",".48**",".39*","62","62","64"
