"","qno","t1","t1.pval","t2","t2.pval","diff","p","n"
"1",NA,NA,NA,NA,NA,NA,NA,"1"
"2",NA,NA,NA,NA,NA,NA,NA,"2"
"3",NA,NA,NA,NA,NA,NA,NA,"3"
"4",NA,NA,NA,NA,NA,NA,NA,"4"
"5",NA,NA,NA,NA,NA,NA,NA,"5"
"6",NA,NA,NA,NA,NA,NA,NA,"6"
"7",NA,NA,NA,NA,NA,NA,NA,"7"
"8",NA,NA,NA,NA,NA,NA,NA,"8"
"9",NA,NA,NA,NA,NA,NA,NA,"9"
"10","2b","0.525","0.511","0.516","0.721","-0.009","0.855","32"
"11","2a","0.425","0.032","0.525","0.489","0.1","0.009","56"
"12","2ab","0.1","0.052","-0.009","0.868","-0.109","0.086","88"
"13","3b","0.533","0.28","0.541","0.408","0.007","0.881","27"
"14","3a","0.553","0.131","0.485","0.698","-0.067","0.162","55"
"15","3ab","-0.019","0.673","0.055","0.369","0.075","0.279","82"
"16","7b","0.519","0.607","0.506","0.874","-0.013","0.798","32"
"17","7a","0.508","0.793","0.513","0.673","0.005","0.906","61"
"18","7ab","0.011","0.825","-0.007","0.891","-0.017","0.785","93"
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA
"25","2b","-0.06","0","0.057","0","0.117","0.054","30"
"26","2b","0.057","0","0.036","0","-0.021","0.528","56"
"27","3b","-0.015","0","0.011","0","0.026","0.591","27"
"28","3a","-0.027","0","0.031","0","0.058","0.143","55"
"29","3b","-0.052","0","0.026","0","0.077","0.061","31"
"30","3a","-0.002","0","0.025","0","0.027","0.504","60"
