"","qno","t1","t1.p","t2","t2.p","t3","t3.p","t3c","t3c.p","t2t1","t2t1.p","t3t2","t3t2.p","t3t3c","t3t3c.p","n"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2b","0.495","0.911","0.586","0.062","0.595","0.076","0.453","0.325","0.091","0.061","0.009","0.879","0.142","0.046","22"
"11","2a","0.457","0.227","0.551","0.21","0.538","0.331","0.524","0.387","0.095","0.023","-0.014","0.811","0.014","0.769","37"
"12","2ab","0.039","0.473","0.035","0.558","0.058","0.373","-0.071","0.198","-0.004","0.952","0.023","0.782","0.128","0.14","59"
"13","3b","0.532","0.285","0.542","0.491","0.542","0.288","0.462","0.167","0.011","0.873","0","1","0.08","0.096","19"
"14","3a","0.537","0.354","0.571","0.116","0.597","0.011","0.464","0.108","0.034","0.483","0.026","0.666","0.133","0.003","35"
"15","3ab","-0.006","0.91","-0.029","0.696","-0.055","0.304","-0.002","0.955","-0.024","0.771","-0.026","0.751","-0.053","0.447","54"
"16","7b","0.483","0.661","0.509","0.856","0.57","0.169","0.52","0.621","0.026","0.652","0.061","0.272","0.05","0.437","23"
"17","7a","0.507","0.855","0.556","0.09","0.63","0.003","0.545","0.107","0.049","0.23","0.074","0.154","0.085","0.088","43"
"18","7ab","-0.024","0.657","-0.047","0.415","-0.061","0.344","-0.025","0.605","-0.023","0.746","-0.014","0.856","-0.035","0.679","66"
